singular,plural,singularEs,pluralEs
pet,pets,mascota,mascotas
apartment,apartments,departamento,departamentos
apple,apples,manzana,manzanas
application,applications,aplicación,aplicaciones
bag,bags,bolsa,bolsas
banana,bananas,plátano,plátanos
basket,baskets,canasta,canastas
bed,beds,cama,camas
belt,belts,cinturón,cinturones
bicycle,bicycles,bicicleta,bicicletas
bike,bikes,bicicleta,bicicletas
blade,blades,cuchilla,cuchillas
book,books,libro,libros
bookcase,bookcases,estantería,estanterías
bottle,bottles,botella,botellas
bulb,bulbs,bombilla,bombillas
burger,burgers,hamburguesa,hamburguesas
bus,buses,autobús,autobúses
button,buttons,botón,botones
camera,cameras,cámara,cámaras
cap,caps,gorra,gorras
car,cars,carro,carros
carpet,carpets,alfombra,alfombras
cardboard,cardboards,cartulina,cartulinas
chair,chairs,silla,sillas
cherry,cherries,cereza,cerezas
chip,chips,papa frita,papas fritas
class,classes,clase,clases
clip,clips,broche,broches
clock,clocks,reloj,relojes
cloth,cloths,tela,telas
coin,coins,moneda,monedas
country,countries,pais,paises
cow,cows,vaca,vacas
