infinitive,past,pastParticiple,infinitiveEs,pastParticipleEs,progressiveEs,presentIEs,presentHeEs,pastIEs,pastWeEs,isTransitive,isDitransitive,canBeLinkingVerb
appear,appeared,appeared,aparecer,aparecido,apareciendo,aparezco,aparece,aparecí,aparecimos,0,0,1
become,became,become,convertir,convertido,convirtiendo,convierto,convierte,convertí,convertimos,0,0,1
feel,felt,felt,sentir,sentido,sintiendo,siento,siente,sentí,sentimos,0,0,1
get,got,gotten,obtener,obtenido,obteniendo,obtengo,obtiene,obtuve,obtuvimos,0,0,1
grow,grew,grown,crecer,crecido,creciendo,cresco,crece,crecí,crecimos,0,0,1
look,looked,looked,mirar,mirado,mirando,miro,mira,miré,miramos,0,0,1
prove,proved,proved,probar,probado,probando,pruebo,prueba,probé,probamos,0,0,1
remain,remained,remained,permanecer,permanecido,permaneciendo,permanesco,permanece,permanecí,permanecimos,0,0,1
smell,smelled,smelled,oler,olido,oliendo,huelo,huele,olí,olimos,0,0,1
seem,seemed,seemed,parecer,parecido,pareciendo,parezco,parece,parecí,parecimos,0,0,1
sound,sounded,sounded,sonar,sonado,sonando,sueno,suena,soné,sonamos,0,0,1
taste,tasted,tasted,probar,probado,probando,pruebo,prueba,probé,probamos,0,0,1
turn,turned,turned,girar,girado,girando,giro,gira,giré,giramos,0,0,1
build,built,built,construir,construido(a),construyendo,construyo,construye,construí,construimos,1,0,0
run,ran,run,correr,corrido,corriendo,corro,corre,corrí,corrimos,0,0,0
arrive,arrived,arrived,llegar,llegado,llegando,llego,llega,llegué,llegamos,0,0,0
lie,lay,lain,mentir,mentido,mintiendo,miento,miente,mentí,mentimos,0,0,0
open,opened,opened,abrir,abierto(a),abriendo,abro,abre,abrí,abrimos,0,0,0
talk,talked,talked,hablar,hablado(a),hablando,hablo,habla,hablé,hablamos,0,0,0
listen,listened,listened,escuchar,escuchado(a),escuchando,escucho,escucha,escuché,escuchamos,0,0,0
